R;S;G;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
P;JUVENTUS;AUDERO Emil;5;1;6;5;0;0;0;0;0;1;0;0
P;ATALANTA;BERISHA Etrit;5;26;6.25;5.21;0;0;2;0;0;26;0;0
P;PESCARA;BIZZARRI Benjamin;2;28;5.98;3.64;0;0;2;0;0;66;0;0
P;JUVENTUS;BUFFON Gianluigi;5;28;6.11;5.27;0;0;0;0;0;24;0;0
P;INTER;CARRIZO Juan Pablo;1;1;6;4;0;0;0;0;0;2;0;0
P;CAGLIARI;COLOMBO Roberto;5;1;6;6;0;0;0;0;0;0;0;0
P;SASSUOLO;CONSIGLI Andrea;3;37;6.28;5;0;0;1;0;0;56;0;3
P;CROTONE;CORDAZ Alex;3;35;6.31;4.94;0;0;2;1;0;52;0;2
P;BOLOGNA;DA COSTA;5;16;6.31;4.81;0;0;1;0;0;25;0;0
P;MILAN;DONNARUMMA Gianluigi;4;36;6.42;5.32;0;0;2;0;0;45;0;2
P;FIORENTINA;DRAGOWSKI Bartolomiej;5;1;6;4.67;0;0;0;0;0;2;0;0
P;CROTONE;FESTA Marco;5;2;7.25;5;0;0;1;0;0;4;0;0
P;PESCARA;FIORILLO Vincenzo;4;9;6.17;4.55;0;0;0;0;0;15;0;0
P;PALERMO;FULIGNATI Andrea;3;9;6.22;4.67;0;0;0;0;0;14;0;0
P;CAGLIARI;GABRIEL Vasconcelos Ferreira;2;3;5.17;3.25;0;0;1;0;0;7;0;0
P;ATALANTA;GOLLINI Pierluigi;4;4;6.12;5.75;0;0;1;0;0;1;0;0
P;INTER;HANDANOVIC Samir;4;35;6.36;5.07;0;0;4;0;1;47;0;1
P;TORINO;HART Joe;3;36;6.07;4.32;0;0;2;0;0;62;0;0
P;UDINESE;KARNEZIS Orestis;3;33;6.12;4.71;0;0;3;0;0;45;0;0
P;GENOA;LAMANNA Eugenio;3;21;5.88;4.43;0;0;0;0;0;37;0;2
P;FIORENTINA;LEZZERINI Luca;5;1;7;5.67;0;0;0;0;0;0;0;0
P;LAZIO;MARCHETTI Federico;4;17;6.24;5.29;0;0;0;0;0;22;0;2
P;BOLOGNA;MIRANTE Antonio;4;21;6.14;4.77;0;0;0;0;0;32;0;1
P;JUVENTUS;NETO Norberto;5;7;6.07;5.72;0;0;0;0;0;2;0;0
P;TORINO;PADELLI Daniele;3;2;5.75;3.75;0;0;0;0;0;4;0;0
P;SASSUOLO;PEGOLO Gianluca;1;1;5.5;0.5;0;0;0;0;0;5;0;0
P;EMPOLI;PELAGOTTI Alberto;2;3;5.83;4.17;0;0;0;0;0;5;0;0
P;GENOA;PERIN Mattia;4;14;6.14;4.97;0;0;1;1;0;19;0;1
P;PALERMO;POSAVEC Josip;3;29;5.83;3.64;0;0;1;0;0;63;0;0
P;SAMPDORIA;PUGGIONI Christian;3;21;6.07;4.48;0;0;3;0;0;35;0;1
P;NAPOLI;RAFAEL Cabral Barbosa;5;1;6;5;0;0;0;0;0;1;0;0
P;CAGLIARI;RAFAEL De Andrade;4;21;6.19;5.1;0;0;0;0;0;32;0;3
P;NAPOLI;REINA Jose’ Manuel Paez;4;37;6.05;5.09;0;0;1;0;0;38;0;1
P;GENOA;RUBINHO;1;2;5;1;0;0;0;0;0;8;0;0
P;UDINESE;SCUFFET Simone;4;6;6.08;4.25;0;0;0;0;0;11;0;0
P;CHIEVO;SECULIN Andrea;3;4;6.12;3.88;0;0;0;0;0;9;0;0
P;EMPOLI;SKORUPSKI Lukasz;3;34;6.24;4.91;0;0;2;0;1;56;0;4
P;CHIEVO;SORRENTINO Stefano;3;34;6.24;4.69;0;0;1;0;0;52;0;0
P;FIORENTINA;SPORTIELLO Marco;2;9;5.61;3.67;0;0;1;0;0;17;0;0
P;MILAN;STORARI Marco;2;15;5.9;3.4;0;0;1;1;0;36;0;0
P;LAZIO;STRAKOSHA Thomas;3;21;6.1;4.83;0;0;1;0;0;26;0;0
P;ROMA;SZCZESNY Wojciech;4;38;6.33;5.49;0;0;0;0;0;38;0;2
P;FIORENTINA;TATARUSANU Anton Ciprian;3;34;6.09;4.64;0;0;0;0;0;50;0;0
P;LAZIO;VARGIC Ivan;1;1;5.5;2.5;0;0;0;0;0;3;0;0
P;SAMPDORIA;VIVIANO Emiliano;4;17;6.32;5.18;0;0;5;0;0;20;0;1
D;MILAN;ABATE Ignazio;4;22;5.84;5.91;0;2;1;0;0;0;0;0
D;SASSUOLO;ACERBI Francesco;4;38;6.22;6.46;4;0;2;0;1;0;0;0
D;SASSUOLO;ADJAPONG Claud;2;6;5.75;6;1;0;3;0;0;0;0;0
D;UDINESE;ADNAN Ali Kadhim;2;14;5.39;5.32;0;0;2;0;0;0;0;0
D;TORINO;AJETI Arlind;2;4;5;5.25;1;0;0;0;1;0;0;0
D;NAPOLI;ALBIOL Tortajada Raul;5;26;6.15;6.04;0;1;8;0;0;0;0;0
D;PALERMO;ALEESAMI Haitam;3;31;5.85;5.92;1;2;6;0;0;0;0;0
D;JUVENTUS;ALEX SANDRO;5;27;6.19;6.45;3;3;5;0;1;0;0;0
D;FIORENTINA;ALONSO Mendoza Marcos;1;2;5.5;5.5;0;0;0;0;0;0;0;0
D;CAGLIARI;ALVES Bruno;3;36;5.82;5.81;1;0;5;1;0;0;0;0
D;JUVENTUS;ALVES Dani;4;15;6.07;6.34;2;1;5;0;0;0;0;0
D;PALERMO;ANDELKOVIC Sinisa;3;21;5.52;5.52;0;1;3;0;0;0;0;0
D;INTER;ANDREOLLI Marco;3;5;5.9;6.5;1;0;0;0;0;0;0;0
D;UDINESE;ANGELLA Gabriele;3;14;5.61;5.57;1;0;3;0;1;0;0;0
D;INTER;ANSALDI Cristian;2;21;5.69;5.5;0;1;8;1;0;0;0;0
D;SASSUOLO;ANTEI Luca;3;14;5.75;5.82;1;0;4;0;0;0;0;0
D;MILAN;ANTONELLI Luca;5;5;6.1;6.08;0;0;1;0;0;0;0;0
D;UDINESE;ARMERO Pablo;1;2;5.5;5.25;0;0;1;0;0;0;0;0
