R;S;Gi;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
P;SAMPDORIA;AUDERO Emil;4;34;6.1;4.74;0;0;4;0;0;50;0;1
P;FROSINONE;BARDI Francesco;2;3;5.83;4.17;0;0;0;0;0;5;0;0
P;ATALANTA;BERISHA Etrit;3;18;6.17;4.75;0;0;1;0;0;25;0;0
P;SASSUOLO;CONSIGLI Andrea;3;36;6.25;4.89;0;0;2;1;0;56;0;3
P;CAGLIARI;CRAGNO Alessio;3;38;6.53;5.25;0;0;1;0;0;54;0;2
P;MILAN;DONNARUMMA Gianluigi;4;34;6.32;5.49;0;0;4;0;0;30;0;1
P;EMPOLI;DRAGOWSKI Bartolomiej;4;16;6.5;5.12;0;0;2;0;0;25;0;1
P;PARMA;FRATTALI Pierluigi;1;1;6.5;4.5;0;0;0;0;0;2;0;0
P;ATALANTA;GOLLINI Pierluigi;4;20;6.18;5.1;0;0;1;0;0;21;0;0
P;SPAL;GOMIS Alfred;3;20;6.02;4.68;0;0;0;0;0;27;0;0
P;LAZIO;GUERRIERI Guido;5;1;5;4;0;0;0;0;0;3;0;0
P;INTER;HANDANOVIC Samir;4;37;6.3;5.42;0;0;0;0;0;33;0;0
P;TORINO;ICHAZO Salvador;5;3;6.17;5.5;0;0;0;0;0;2;0;0
P;GENOA;JANDREI Chitolina Carniel;5;1;6;5;0;0;0;0;0;1;0;0
P;NAPOLI;KARNEZIS Orestis;5;8;6.25;5.44;0;0;0;0;0;7;0;0
P;FIORENTINA;LAFONT Alban;4;34;6.06;4.94;0;0;2;0;1;40;0;1
P;GENOA;MARCHETTI Federico;4;4;5.75;3.7;0;0;1;0;0;10;0;0
P;NAPOLI;MERET Alex;4;14;6.18;5.46;0;0;0;1;0;9;0;0
P;SPAL;MILINKOVIC Vanja;3;2;5.75;3.25;0;0;0;1;0;4;0;0
P;ROMA;MIRANTE Antonio;5;11;6.55;6.27;0;0;0;0;0;6;0;1
P;UDINESE;MUSSO Juan;4;28;6.32;4.93;0;0;4;0;0;38;0;0
P;ROMA;OLSEN Robin;3;27;6.02;4.43;0;0;2;0;0;42;0;0
P;NAPOLI;OSPINA David;4;17;6.06;4.88;0;0;0;0;0;20;0;0
P;SASSUOLO;PEGOLO Gianluca;4;3;6;4.5;0;0;1;0;0;4;0;0
P;JUVENTUS;PERIN Mattia;3;9;5.83;4.89;0;0;1;0;0;8;0;0
P;JUVENTUS;PINSOGLIO Carlo;1;1;5.5;3.5;0;0;0;0;0;2;0;0
P;LAZIO;PROTO Silvio;5;2;6;4.5;0;0;1;0;0;4;0;0
P;EMPOLI;PROVEDEL Ivan;2;16;5.84;3.59;0;0;0;0;0;36;0;0
P;GENOA;RADU Ionut;4;30;6.22;4.95;0;0;0;0;0;44;0;1
P;SAMPDORIA;RAFAEL Cabral Barbosa;5;2;6;6;0;0;0;0;0;0;0;0
P;MILAN;REINA Jose’ Manuel Paez;4;4;6.25;5.2;0;0;0;0;0;5;0;0
P;UDINESE;SCUFFET Simone;3;9;6.06;4.61;0;0;0;0;0;13;0;0
P;CHIEVO;SECULIN Andrea;5;1;5.5;2.25;0;0;0;0;0;7;0;0
P;CHIEVO;SEMPER Adrian;4;6;6.33;5;0;0;0;0;0;8;0;0
P;PARMA;SEPE Luigi;3;37;6.19;4.55;0;0;1;0;1;59;0;0
P;TORINO;SIRIGU Salvatore;4;36;6.49;5.67;0;0;1;0;0;35;0;2
P;BOLOGNA;SKORUPSKI Lukasz;3;38;6.07;4.58;0;0;1;0;0;56;0;0
P;CHIEVO;SORRENTINO Stefano;3;31;6.37;4.6;0;0;2;0;0;60;0;2
P;FROSINONE;SPORTIELLO Marco;3;35;6.16;4.26;0;0;5;0;0;64;0;0
P;LAZIO;STRAKOSHA Thomas;4;34;6.09;4.91;0;0;4;0;0;39;0;0
P;JUVENTUS;SZCZESNY Wojciech;5;25;6.18;5.55;0;0;0;0;0;20;0;1
P;FIORENTINA;TERRACCIANO Pietro;3;10;6.3;5;0;0;0;0;0;13;0;0
P;SPAL;VIVIANO Emiliano;3;17;6.18;4.71;0;0;0;0;0;25;0;0
D;MILAN;ABATE Ignazio;4;16;6;5.91;0;0;4;0;0;0;0;0
D;LAZIO;ACERBI Francesco;4;36;6.04;6.34;3;0;3;1;0;0;0;0
D;SASSUOLO;ADJAPONG Claud;3;4;5.75;6.75;1;0;1;0;0;0;0;0
D;UDINESE;ADNAN Ali Kadhim;2;3;5.67;5.67;0;0;0;0;0;0;0;0
D;TORINO;AINA Ola;3;29;5.79;5.95;1;3;4;1;0;0;0;0
D;NAPOLI;ALBIOL Tortajada Raul;3;19;5.74;5.87;1;0;4;0;0;0;0;0
D;JUVENTUS;ALEX SANDRO;4;29;6.03;6.17;1;3;7;0;0;0;0;0
D;PARMA;ALVES Bruno;4;33;6;6.36;4;1;8;1;1;0;0;0
D;SAMPDORIA;ANDERSEN Joachim;4;31;6;5.89;0;0;7;0;0;0;0;0
D;CHIEVO;ANDREOLLI Marco;1;10;5.2;5.05;0;0;3;0;0;0;0;0
D;TORINO;ANSALDI Cristian;4;24;6.31;6.9;3;2;3;0;0;0;0;0
D;EMPOLI;ANTONELLI Luca;4;10;6;6.05;0;1;1;0;0;0;0;0
D;FROSINONE;ARIAUDO Lorenzo;3;19;5.76;5.61;0;0;2;0;1;0;0;0
D;INTER;ASAMOAH Kwadwo;4;32;5.89;5.83;0;1;6;0;0;0;0;0
D;CHIEVO;BANI Mattia;3;30;5.68;5.47;0;0;7;1;1;0;0;0
D;CHIEVO;BARBA Federico;3;30;5.67;5.52;0;0;5;2;0;0;0;0
D;JUVENTUS;BARZAGLI Andrea;5;4;6.12;6.12;0;0;0;0;0;0;0;0
D;PARMA;BASTONI Alessandro;4;20;6;6.18;1;0;2;0;0;0;0;0
D;LAZIO;BASTOS;3;17;5.65;5.83;1;0;3;0;0;0;0;0
D;JUVENTUS;BENATIA Medhi;3;5;5.9;5.7;0;0;2;0;0;0;0;0
D;SAMPDORIA;BERESZYNSKI Bartosz;3;25;5.78;5.73;0;2;5;1;0;0;0;0
D;FIORENTINA;BIRAGHI Cristiano;3;35;5.77;5.9;1;4;8;0;0;0;0;0
D;GENOA;BIRASCHI Davide;4;33;5.94;5.81;0;0;3;1;1;0;0;0
D;SPAL;BONIFAZI Kevin;3;27;5.94;6.24;2;0;2;0;0;0;0;0
D;JUVENTUS;BONUCCI Leonardo;4;29;6.02;6.45;3;0;2;0;0;0;0;0
D;TORINO;BREMER Gleison Silva Nascimento;3;2;5.75;5.5;0;0;1;0;0;0;0;0
D;FROSINONE;BRIGHENTI Nicolo’;1;11;5.32;5.14;0;0;4;0;0;0;0;0
D;CAGLIARI;CACCIATORE Fabrizio;3;14;5.86;5.89;0;2;3;0;0;0;0;0
D;JUVENTUS;CACERES Martin;4;13;5.85;5.81;0;0;1;0;0;0;0;0
D;BOLOGNA;CALABRESI Arturo;2;17;5.62;5.65;1;0;8;0;0;0;0;0
D;MILAN;CALABRIA Davide;3;25;5.9;6.02;1;1;5;0;0;0;0;0
D;JUVENTUS;CANCELO Joao;3;24;6.12;6.27;1;2;6;0;0;0;0;0
D;FROSINONE;CAPUANO Marco;2;27;5.63;5.52;0;0;4;1;0;0;0;0
D;ATALANTA;CASTAGNE Timothy;5;26;6.23;6.94;4;2;3;0;0;0;0;0
D;FIORENTINA;CECCHERINI Federico;4;14;5.86;5.77;0;0;3;0;0;0;0;0
D;INTER;CEDRIC Soares;4;3;6;6;0;0;0;0;0;0;0;0
D;CAGLIARI;CEPPITELLI Luca;3;24;5.77;5.73;1;1;5;2;1;0;0;0
D;CHIEVO;CESAR Bostjan;3;13;5.73;5.96;1;0;3;0;0;0;0;0
D;JUVENTUS;CHIELLINI Giorgio;5;24;6.4;6.56;1;1;3;0;0;0;0;0
D;NAPOLI;CHIRICHES Vlad;5;2;6;6;0;0;0;0;0;0;0;0
D;SPAL;CIONEK Thiago;3;31;5.69;5.5;0;2;12;2;0;0;0;0
D;SAMPDORIA;COLLEY Omar;4;21;5.98;5.93;0;0;0;1;0;0;0;0
D;MILAN;CONTI Andrea;3;9;5.67;5.75;0;2;3;0;0;0;0;0
D;SPAL;COSTA Filippo;4;8;5.94;5.94;0;0;0;0;0;0;0;0
D;GENOA;CRISCITO Domenico;4;34;6;6.19;2;4;11;1;0;0;0;0
D;INTER;D’AMBROSIO Danilo;3;29;5.72;6.07;2;4;6;0;0;0;0;0
D;INTER;DALBERT Henrique;2;11;5.36;5.36;0;1;2;0;0;0;0;0
D;BOLOGNA;DANILO Larangeira;4;35;5.93;6;1;0;4;0;0;0;0;0
D;UDINESE;DE MAIO Sebastian;4;21;5.86;5.95;1;0;3;1;0;0;0;0
D;JUVENTUS;DE SCIGLIO Mattia;4;20;6;6;0;1;2;0;0;0;0;0
D;TORINO;DE SILVESTRI Lorenzo;5;31;6.19;6.58;2;4;2;0;0;0;0;0
D;INTER;DE VRIJ Stefan;4;28;6.16;6.38;2;0;2;0;1;0;0;0
D;EMPOLI;DELL’ORCO Cristian;3;14;5.75;6.11;1;1;1;0;0;0;0;0
D;SASSUOLO;DEMIRAL Merih;4;14;6.04;6.57;2;0;3;0;0;0;0;0
D;EMPOLI;DI LORENZO Giovanni;3;37;6.03;6.61;5;3;8;0;0;0;0;0
D;SPAL;DICKMANN Lorenzo;1;3;5.17;5;0;0;1;0;0;0;0;0
D;BOLOGNA;DIJKS Mitchell;3;24;5.92;5.96;1;0;5;1;0;0;0;0
D;PARMA;DIMARCO Federico;4;11;5.91;6.14;1;0;4;0;0;0;0;0
D;TORINO;DJIDJI Koffi;4;16;5.94;5.88;0;0;2;0;0;0;0;0
D;ATALANTA;DJIMSITI Berat;4;22;6.02;6.11;1;1;3;0;1;0;0;0
D;SPAL;DJOUROU Johan Danon;4;4;5.88;5.88;0;0;0;0;0;0;0;0
D;LAZIO;DURMISI Riza;3;7;5.29;5.19;0;0;4;0;0;0;0;0
D;CAGLIARI;FARAGO’ Paolo;3;24;5.79;5.83;1;1;7;1;0;0;0;0
D;ROMA;FAZIO Federico;4;33;5.83;6.42;5;0;6;0;0;0;0;0
D;SPAL;FELIPE;3;28;5.86;6.14;3;1;13;0;0;0;0;0
D;SAMPDORIA;FERRARI Alex;3;6;5.83;5.71;0;0;2;0;0;0;0;0
D;SASSUOLO;FERRARI Gianmarco;4;31;6.02;6.45;4;0;9;0;0;0;0;0
D;ROMA;FLORENZI Alessandro;4;29;5.98;6.41;3;2;4;1;0;0;0;0
D;CHIEVO;FREY Nicolas;2;3;5.5;5.5;0;0;0;0;0;0;0;0
D;PARMA;GAGLIOLO Riccardo;3;34;5.87;5.68;0;1;7;0;2;0;0;0
D;PARMA;GAZZOLA Marcello;4;15;5.87;6.07;1;0;3;0;0;0;0;0
D;FROSINONE;GHIGLIONE Paolo;2;9;5.67;5.94;1;0;4;0;0;0;0;0
D;NAPOLI;GHOULAM Faouzi;4;14;6.07;6.54;1;3;2;0;0;0;0;0
D;PARMA;GOBBI Massimo;3;15;5.67;5.63;0;1;3;0;0;0;0;0
D;FROSINONE;GOLDANIGA Edoardo;2;29;5.62;5.71;1;1;6;0;0;0;0;0
D;BOLOGNA;GONZALEZ Giancarlo;2;11;5.45;5.45;0;1;2;0;0;0;0;0
D;ATALANTA;GOSENS Robin;3;27;5.98;6.52;3;2;2;0;0;0;0;0
D;GENOA;GUNTER Koray;4;12;5.71;5.69;0;0;1;0;0;0;0;0
D;FIORENTINA;HANCKO David;3;4;5.38;5.5;0;0;0;0;0;0;0;0
D;ATALANTA;HATEBOER Hans;4;34;6.1;6.84;5;5;5;0;0;0;0;0
D;BOLOGNA;HELANDER Filip;1;19;5.39;5.24;0;0;6;0;0;0;0;0
D;NAPOLI;HYSAJ Elseid;3;25;5.76;5.76;0;2;4;0;0;0;0;0
D;PARMA;IACOPONI Simone;3;38;5.78;5.72;0;0;4;0;0;0;0;0
D;TORINO;IZZO Armando;4;37;6.36;6.8;4;1;6;0;0;0;0;0
D;CHIEVO;JAROSZYNSKI Pawel;2;18;5.61;5.56;0;0;2;0;0;0;0;0
D;ROMA;JUAN Jesus;3;18;5.67;5.69;1;0;4;0;1;0;0;0
D;ROMA;KARSDORP Rick;3;9;5.5;5.44;0;0;1;0;0;0;0;0
D;CAGLIARI;KLAVAN Ragnar;3;15;5.87;5.8;0;0;2;0;0;0;0;0
D;ROMA;KOLAROV Aleksandar;3;33;5.95;6.95;8;1;6;1;0;0;0;0
D;NAPOLI;KOULIBALY Kalidou;4;35;6.36;6.49;2;1;9;1;0;0;0;0
D;FROSINONE;KRAJNC Luka;2;9;5.39;5.22;0;0;3;0;0;0;0;0
