R;S;Gi;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
P;ROMA;ALISSON Ramses Becker;5;34;6.37;5.76;0;0;1;0;0;27;0;2
P;SAMPDORIA;BELEC Vid;2;15;5.9;3.81;0;0;1;1;0;32;0;0
P;ATALANTA;BERISHA Etrit;4;29;5.98;5.11;0;0;0;0;0;30;0;1
P;UDINESE;BIZZARRI Benjamin;3;29;6.05;4.73;0;0;0;1;0;47;0;2
P;BENEVENTO;BRIGNOLI Alberto;3;12;5.96;3.88;1;0;2;0;0;31;0;0
P;JUVENTUS;BUFFON Gianluigi;5;19;6.42;5.83;0;0;1;0;0;14;0;1
P;SASSUOLO;CONSIGLI Andrea;4;36;6.24;4.74;0;0;2;0;0;57;0;1
P;CROTONE;CORDAZ Alex;3;37;6.2;4.62;0;0;2;0;0;62;0;1
P;CAGLIARI;CRAGNO Alessio;4;28;6.2;4.84;0;0;0;0;0;45;0;2
P;CAGLIARI;CROSTA Luca;5;1;5;4;0;0;0;0;0;3;0;0
P;BOLOGNA;DA COSTA;4;4;6.12;4.88;0;0;0;0;0;5;0;0
P;MILAN;DONNARUMMA Gianluigi;4;37;6.05;4.89;0;0;2;0;1;42;0;0
P;FIORENTINA;DRAGOWSKI Bartolomiej;4;3;5.17;3.38;0;0;0;0;0;8;0;0
P;ATALANTA;GOLLINI Pierluigi;5;7;6.43;5.89;0;0;0;0;0;4;0;0
P;SPAL;GOMIS Alfred;3;25;6.34;4.74;0;0;0;0;0;43;0;1
P;INTER;HANDANOVIC Samir;4;36;6.36;5.53;0;0;0;0;1;30;0;0
P;GENOA;LAMANNA Eugenio;5;1;6.5;5.75;0;0;0;0;0;1;0;0
P;SPAL;MERET Alex;4;13;6.35;5.58;0;0;0;0;0;16;0;2
P;TORINO;MILINKOVIC Vanja;5;1;6;5.5;0;0;0;0;0;1;0;0
P;BOLOGNA;MIRANTE Antonio;3;33;6.12;4.62;0;0;5;0;1;46;0;0
P;VERONA;NICOLAS Andrade;3;36;6.08;4.27;0;0;2;1;0;71;0;2
P;SASSUOLO;PEGOLO Gianluca;5;1;5;4.5;0;0;0;0;1;1;0;0
P;GENOA;PERIN Mattia;4;36;6.26;5.14;0;0;1;0;0;41;0;0
P;JUVENTUS;PINSOGLIO Carlo;5;1;6;5.5;0;0;0;0;0;1;0;0
P;BENEVENTO;PUGGIONI Christian;3;23;5.98;4.42;0;0;0;1;0;38;0;0
P;CAGLIARI;RAFAEL De Andrade;4;10;6.15;5.09;0;0;1;0;0;11;0;0
P;NAPOLI;REINA Jose’ Manuel Paez;4;37;6.16;5.36;0;0;1;0;0;29;0;0
P;BOLOGNA;SANTURRO Antonio;1;1;6;4.5;0;0;1;0;0;1;0;0
P;UDINESE;SCUFFET Simone;5;6;5.83;4.88;0;0;0;0;0;11;0;1
P;NAPOLI;SEPE Luigi;5;1;6;6;0;0;0;0;0;0;0;0
P;VERONA;SILVESTRI Marco;5;1;5.5;3.75;0;0;0;0;0;4;0;0
P;TORINO;SIRIGU Salvatore;4;36;6.36;5.38;0;0;2;0;0;44;0;3
