R;S;G;Q
P;INTER;HANDANOVIC Samir;20
P;JUVENTUS;SZCZESNY Wojciech;19
P;MILAN;DONNARUMMA Gianluigi;18
P;NAPOLI;MERET Alex;17
P;TORINO;SIRIGU Salvatore;17
P;ROMA;LOPEZ Pau;16
P;LAZIO;STRAKOSHA Thomas;15
P;ATALANTA;GOLLINI Pierluigi;15
P;CAGLIARI;CRAGNO Alessio;14
P;FIORENTINA;DRAGOWSKI Bartolomiej;13
P;BOLOGNA;SKORUPSKI Lukasz;12
P;SAMPDORIA;AUDERO Emil;12
P;GENOA;RADU Ionut;11
P;UDINESE;MUSSO Juan;11
P;SASSUOLO;CONSIGLI Andrea;11
P;SPAL;BERISHA Etrit;10
P;BRESCIA;JORONEN Jesse;10
P;PARMA;SEPE Luigi;10
P;LECCE;GABRIEL Vasconcelos Ferreira;9
P;VERONA;SILVESTRI Marco;8
P;JUVENTUS;BUFFON Gianluigi;2
P;VERONA;RADUNOVIC Boris;2
P;SPAL;GOMIS Alfred;2
P;NAPOLI;OSPINA David;2
P;UDINESE;NICOLAS Andrade;1
P;JUVENTUS;PINSOGLIO Carlo;1
P;CAGLIARI;ARESTI Simone;1
P;CAGLIARI;VICARIO Guglielmo;1
P;SASSUOLO;PEGOLO Gianluca;1
P;LAZIO;ADAMONIS Marius;1
P;ROMA;OLSEN Robin;1
P;GENOA;VODISEK Rok;1
P;NAPOLI;KARNEZIS Orestis;1
P;FIORENTINA;TERRACCIANO Pietro;1
P;LAZIO;GUERRIERI Guido;1
P;ATALANTA;SPORTIELLO Marco;1
P;FIORENTINA;GHIDOTTI Simone;1
P;ROMA;FUZATO Daniel;1
P;SASSUOLO;SATALINO Giacomo;1
P;MILAN;DONNARUMMA Antonio;1
P;ATALANTA;ROSSI Francesco;1
P;CAGLIARI;RAFAEL De Andrade;1
P;LECCE;BLEVE Marco;1
P;LAZIO;PROTO Silvio;1
P;VERONA;BERARDI Alessandro;1
P;PARMA;ALASTRA Fabrizio;1
P;UDINESE;PERISAN Samuele;1
P;BRESCIA;ANDRENACCI Lorenzo;1
P;INTER;PADELLI Daniele;1
P;SAMPDORIA;FALCONE Wladimiro;1
P;GENOA;MARCHETTI Federico;1
P;LECCE;VIGORITO Mauro;1
P;GENOA;JANDREI Chitolina Carniel;1
P;UDINESE;GASPARINI Manuel;1
P;BOLOGNA;SARR Mouhamadou;1
P;PARMA;DINI Andrea;1
P;TORINO;ROSATI Antonio;1
P;SAMPDORIA;RAFAEL Cabral Barbosa;1
P;INTER;BERNI Tommaso;1
P;MILAN;PLIZZARI Alessandro;1
