Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Asf;Amm;Esp;Au
3;P;RADUNOVIC;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;P;SPORTIELLO;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;D;ALMICI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;D;CONTI;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;C;CIGARINI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;C;GRASSI;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;C;KURTIC;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;P;DA COSTA;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;P;MIRANTE;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;P;SARR M;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;D;FERRARI A;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;D;GASTALDELLO;Brescia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;D;MBAYE;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;D;ROSSETTINI;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;C;CRISETIG;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;C;DIAWARA;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;C;RIZZO;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;C;MANCOSU;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;D;GAGLIOLO;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;C;DI GAUDIO;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;D;MARRONE;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;A;LASAGNA;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;A;MATOS;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;D;CACCIATORE;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;D;MATTIELLO;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;C;BIRSA;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;C;CASTRO;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;C;RADOVANOVIC;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;A;INGLESE;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;A;PALOSCHI;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;P;SKORUPSKI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;D;DERMAKU;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;D;HYSAJ;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;D;LAURINI;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;D;MARIO RUI;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;D;TONELLI;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;C;KRUNIC;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;C;SAPONARA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;C;ZIELINSKI;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;P;SEPE;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;C;BADELJ;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;C;BORJA VALERO;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;C;CAPEZZI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;A;ILICIC;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;C;PETRICCIONE;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;C;VECINO;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;A;BABACAR;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;C;BERNARDESCHI;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;P;DONNARUMMA AN;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;P;PERIN;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;D;DE MAIO;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;D;IZZO;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;C;KUCKA;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;C;LAXALT;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;C;LAZOVIC;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;C;PEROTTI;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;C;RINCON;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241;C;TACHTSIDIS;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0;0
244;D;GHIGLIONE;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
