Ruolo,Nome,Squadra,Quotazione,Partite Giocate,Media Voto,Media Fantavoto,Goal Fatti,Goal Subiti,Rigori Parati,Rigori Calciati,Rigori Segnati,Rigori Sbagliati,Assist,Assist da fermo,Amm,Espulsioni,Autogoal,NEW,Mv Pond,Mf Pond,Asf Pond,Ass Pond,Amm Pond,Au Pond,Esp Pond,R+ Pond,R- Pond,Pg Pond,Gf Pond,Gs Pond,Rp Pond,Rc Pond
A,CRISTIANO RONALDO,Juventus,45,31,6.48,8.6,16,0,0,6,5,1,7,0,3,0,0,N,6.480000000000001,8.6,0.0,7.0,3.0,0.0,0.0,5.0,1.0,31.0,16.0,0.0,0.0,6.0
A,PIATEK,Milan,37,37,6.35,8.07,20,0,0,2,2,0,0,0,5,0,0,N,6.35,8.07,0.0,0.0,5.0,0.0,0.0,2.0,0.0,37.0,20.0,0.0,0.0,2.0
A,IMMOBILE,Lazio,36,35,6.04,7.41,11,0,0,4,4,0,6,0,6,0,0,N,6.247272727272727,8.048181818181817,0.0,5.545454545454546,4.636363636363637,0.0,1.0,5.0,1.0,32.72727272727273,14.363636363636363,0.0,0.0,5.363636363636363
A,LUKAKU R,Inter,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,ZAPATA D,Atalanta,35,37,6.45,8.35,22,0,0,2,1,1,7,0,5,0,0,N,6.248181818181817,7.668181818181819,0.0,4.545454545454546,3.6363636363636362,0.0,0.0,1.0,1.0,34.09090909090909,15.363636363636363,0.0,0.0,1.7142857142857142
A,QUAGLIARELLA,Sampdoria,33,37,6.43,8.64,17,0,0,10,9,1,7,0,1,0,0,N,6.236363636363635,7.9327272727272735,0.0,5.6,2.0,0.0,0.0,6.636363636363637,1.0,35.72727272727273,13.272727272727273,0.0,0.0,7.545454545454546
A,ICARDI,Inter,31,29,5.88,7.05,6,0,0,6,5,1,4,0,0,0,0,N,6.087272727272727,7.8109090909090915,0.0,3.1818181818181817,1.5,1.0,0.0,4.545454545454546,1.0,31.454545454545453,14.181818181818182,0.0,0.0,5.545454545454546
A,DZEKO,Roma,31,33,6,6.83,9,0,0,0,0,0,5,0,9,0,0,N,6.147272727272727,7.397272727272727,0.0,5.0,6.818181818181818,0.0,1.0,1.3333333333333333,2.0,34.09090909090909,14.090909090909092,0.0,0.0,2.6666666666666665
A,BELOTTI,Torino,31,37,6.19,7.28,10,0,0,6,5,1,1,0,5,0,0,N,6.1909090909090905,7.365454545454545,0.0,2.090909090909091,4.090909090909091,0.0,0.0,4.125,1.7,35.0,12.363636363636363,0.0,0.0,4.545454545454546
A,HIGUAIN,Juventus,29,15,6,6.93,6,0,0,1,0,1,1,0,2,1,0,N,6.217272727272728,7.657272727272726,0.0,2.0,2.272727272727273,0.0,1.0,1.5,1.0,25.90909090909091,14.181818181818182,0.0,0.0,1.5555555555555556
A,INSIGNE,Napoli,29,28,6.07,7.07,9,0,0,2,1,1,5,0,6,1,0,N,6.255454545454546,7.3527272727272734,0.0,7.2727272727272725,4.363636363636363,0.0,1.0,1.2727272727272727,1.0,32.90909090909091,9.818181818181818,0.0,0.0,1.7272727272727273
A,MERTENS,Napoli,29,35,6.31,7.96,15,0,0,1,1,0,8,2,1,0,0,N,6.374545454545454,8.025454545454545,2.0,7.181818181818182,3.272727272727273,0.0,0.0,2.1,1.0,35.45454545454545,15.818181818181818,0.0,0.0,2.6
A,MILIK,Napoli,28,35,6.07,7.53,17,0,0,0,0,0,2,0,4,0,0,N,6.111,7.481999999999999,0.0,2.0,2.8,0.0,0.0,0.0,0.0,23.1,11.0,0.0,0.0,0.0
A,CAPUTO,Sassuolo,27,38,6.08,7.14,13,0,0,6,3,3,3,0,3,0,0,N,6.08,7.139999999999999,0.0,3.0,3.0,0.0,0.0,3.0,3.0,38.0,13.0,0.0,0.0,6.0
